"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2,C6,C7,C8,C9","5","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","CHRG","","","","LED_SMD:LED_0402_1005Metric","~"
"D2","1","STDBY","","","","LED_SMD:LED_0402_1005Metric","~"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x02","","","","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","~"
"R1,R2","2","4k2","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R4,R7","3","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5,R6","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R8","1","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_SKQG_WithStem","~"
"U2","1","LSM6DS3TR-C","","","","LSM6DS3TR-C:LGA-14-2.5X3MM",""
"U3","1","AZ1117-3.3","","","","Package_TO_SOT_SMD:SOT-223","https://www.diodes.com/assets/Datasheets/AZ1117.pdf"
"U4","1","ESP32-C3-MINI-1-N4","","","","ESP32-C3-MINI:XCVR_ESP32-C3-MINI-1-N4",""
"U5","1","TP4057","","","","Package_TO_SOT_SMD:TSOT-23-6","http://toppwr.com/uploadfile/file/20230304/640302a47b738.pdf"
